Sector,Tuition_Min_GBP,Tuition_Max_GBP,Tuition_Mid_GBP
Technology,17000,28000,22500
Engineering,18000,30000,24000
Finance,15000,28000,21500
Healthcare,15000,25000,20000
Education,12000,20000,16000
