Region,Population_Mid2024
North East,2760678
North West,7737414
Yorkshire and the Humber,5672962
East Midlands,5063164
West Midlands,6187204
East of England,6576306
London,9089736
South East,9642942
South West,5889695
Wales,3187000
Scotland,5546900
Northern Ireland,1927900
